Metric,Value
Load Energy (kWh),1691.69650416666
PV Energy (kWh),1236.12924166667
Grid-to-Load Energy (kWh),6.11380869813778
Grid Charging Energy (kWh),847.413171415765
Total Grid Import (kWh),853.526980113902
Battery Charge Energy (kWh),480.260319987283
Battery Discharge Energy (kWh),559.906531831751
Load Shedding Energy (kWh),0
Unserved Load Energy (kWh),1.26085555555556
Served Load (%),99.9254679812573
Final SOC (%),77.0151830139973
Minimum SOC (%),56.138644938627
Maximum SOC (%),90
Fault Mode Samples,7237
Fault Mode Hours,605.093611111111
PV-Return Look-Ahead Active Samples,47
Grid Charge Suppressed by Look-Ahead Samples,47
Emergency Mode Samples,0
Energy-Criticality Grid Risk Enabled,1
Criticality Percentile,95
Criticality Max Weight,2.5
Trend Detection Enabled,1
Trend Increase Factor,1.5
Recovery Bonus Enabled,1
Recovery Stable Hours,12
SOC Warning Samples,0
SOC Critical Samples,0
SOC Emergency Samples,0
Any Fault Alert Samples,7237
Average Grid Risk Level,2.96778916544656
